0.0006667137145996094, '100.000000', '90.909091', '64.684349', '3789.956140'
0.0021814631252754027, '90.909091', '50.000000', '64.636699', '9531348.680153'
0.004097876725373445, '100.000000', '77.777778', '64.619102', '4118612.882349'
0.005469745280695897, '100.000000', '54.545455', '64.590927', '6863399.721384'
0.008097333908081055, '90.909091', '60.000000', '64.557908', '6864654.704387'
0.009650865071256396, '100.000000', '66.666667', '64.530228', '5490432.501708'
0.010277844489888941, '90.909091', '60.000000', '64.501262', '6864328.526955'
0.012102462351322174, '100.000000', '60.000000', '64.467452', '6863833.713746'
0.012361916942872864, '100.000000', '63.636364', '64.448274', '5494487.857713'
0.006321600965551428, '72.727273', '100.000000', '64.414662', '6863753.744819'
0.013232286487306868, '80.000000', '77.777778', '64.387080', '6863395.345831'
0.008519687435843727, '80.000000', '90.000000', '64.347141', '6864920.354355'
0.008164080177865378, '80.000000', '90.000000', '64.327171', '5491064.680781'
0.006585082700175624, '90.000000', '81.818182', '64.300381', '6864737.920540'
0.00646235466003418, '90.000000', '81.818182', '64.262913', '6863809.550277'
0.007569294709425706, '80.000000', '88.888889', '64.234640', '6862855.165399'
0.006754997164704079, '90.000000', '81.818182', '64.190845', '6864404.225603'
0.006132911463252833, '81.818182', '80.000000', '64.163362', '6864602.103146'
0.0037411281040736605, '90.000000', '90.000000', '64.134199', '5491144.448883'
0.005826473236083984, '90.000000', '90.000000', '64.097423', '6863146.719334'
0.004467368125915527, '80.000000', '80.000000', '64.067568', '6863426.409430'
0.0035581588745117188, '81.818182', '90.000000', '64.039986', '5492377.116149'
0.004159143992832729, '90.000000', '80.000000', '64.000838', '6863771.323760'
0.004011392593383789, '88.888889', '81.818182', '63.971774', '6866142.862095'
0.0031672886439732145, '90.000000', '90.000000', '63.931934', '6863885.237479'
0.0035578409830729165, '81.818182', '88.888889', '63.904253', '5490317.108282'
0.00397499402364095, '90.000000', '81.818182', '63.874398', '6864941.005039'
0.004363812898334704, '90.000000', '81.818182', '63.837622', '6863792.388251'
0.0033780733744303384, '81.818182', '88.888889', '63.808558', '6863913.109200'
0.0057223796844482425, '81.818182', '80.000000', '63.769410', '6863856.023555'
0.00470890998840332, '80.000000', '72.727273', '63.743410', '5490808.829435'
